Presidio del Paso,El Paso del Norte (Mexico),LOC
Puerto de Santa María,El Puerto de Santa María (Spain),LOC
Pedro de Elizalde,"Elizalde, Pedro de [Sin match LC]",PER
Juan Enríquez Barroto,"Enríquez Barroto, Juan [Sin match LC]",PER
Payo de Rivera,"Enríquez de Rivera, Payo, 1612-1684",PER
Payo Rivera,"Enríquez de Rivera, Payo, 1612-1684",PER
Conde de Alba de Aliste,"Enríquez Pimentel, Marcos, Conde de Alba de Aliste, -1655",PER
Conde de Alva de Aliste,"Enríquez Pimentel, Marcos, Conde de Alba de Aliste, -1655",PER
Cristóbal de Escobar y Llamas,"Escobar y Llamas, Cristóbal de [Sin match LC]",PER
Espino,"Espino, Juan Francisco [Sin match LC]",PER
Juan Francisco Espino,"Espino, Juan Francisco [Sin match LC]",PER
Bahía del Espíritu Santo,Espíritu Santo Bay (Tex.),LOC
Juan Francisso de Esquivel,"Esquivel, Juan Francisco de [Sin match LC]",PER
Bartolomé de Estrada,"Estrada, Bartolomé de [Sin match LC]",PER
Eugenio IV,"Eugene IV, Pope, 1383-1447",PER
Agustín Erbaut,"Exbaut del Camino, Agustín [Sin match LC]",PER
Agustín Exbaut del Camino,"Exbaut del Camino, Agustín [Sin match LC]",PER
Agustín Exbauto del Camino,"Exbaut del Camino, Agustín [Sin match LC]",PER
Agustín Herbaute,"Exbaut del Camino, Agustín [Sin match LC]",PER
Fernando Sexto,"Ferdinand VI, King of Spain, 1713-1759",PER
Pedro Fernández de Baeza,"Fernández de Baeza, Pedro [Sin match LC]",PER
Juan Fernández de Córdoba,"Fernández de Córdoba, Juan [Sin match LC]",PER
duque de Linares,"Fernández de la Cueva Enríquez, Fernando, Duque de Linares, 1664-1717",PER
Duque de Albuquerque,"Fernández de la Cueva, Francisco, Duque de Alburquerque, 1619-1676",PER
Duque de Alburguera,"Fernández de la Cueva, Francisco, Duque de Alburquerque, 1619-1676",PER
Duque de Alburquerque,"Fernández de la Cueva, Francisco, Duque de Alburquerque, 1619-1676",PER
Francisco Fernández de Madrigal,"Fernández de Madrigal, Francisco [Sin match LC]",PER
Juan Fernández de Morales,"Fernández de Morales, Juan [Sin match LC]",PER
Bernardo Fernandez de Solorzano,"Fernández de Solórzano, Bernardo [Sin match LC]",PER
Bernardo Fernández de Solórzano,"Fernández de Solórzano, Bernardo [Sin match LC]",PER
